食物,热量,链接
橘子，又叫橘柑、柑橘、桔柑子,热量：44 大卡(每100克),http://www.boohee.com/shiwu/jieganzi
木瓜，又叫乳瓜、木梨、文冠果,热量：30 大卡(每100克),http://www.boohee.com/shiwu/mugua
葡萄，又叫草龙珠、山葫芦、蒲桃、菩提子、,热量：45 大卡(每100克),http://www.boohee.com/shiwu/putao_junzhi
樱桃番茄（圣女果），又叫葡萄番茄、小西红柿...,热量：25 大卡(每100克),http://www.boohee.com/shiwu/yingtaofanqie
冬瓜，又叫白瓜、水芝、地芝、枕瓜、濮瓜、白...,热量：12 大卡(每100克),http://www.boohee.com/shiwu/donggua
胡萝卜（嫩），又叫萝卜、胡萝菔、黄萝卜、金...,热量：32 大卡(每100克),http://www.boohee.com/shiwu/huluobo
卷心菜（包菜，圆白菜），又叫圆白菜，包菜，甘蓝,热量：24 大卡(每100克),http://www.boohee.com/shiwu/ganlan
红枣(鲜)，又叫红枣、美枣、良枣,热量：125 大卡(每100克),http://www.boohee.com/shiwu/zao_xian
红枣(干)，又叫红枣、大枣、枣子,热量：276 大卡(每100克),http://www.boohee.com/shiwu/zao_gan
竹笋，又叫笋、毛笋、竹芽、竹萌,热量：23 大卡(每100克),http://www.boohee.com/shiwu/zhusun
木耳(水发)，又叫黑木耳、云耳,热量：27 大卡(每100克),http://www.boohee.com/shiwu/muer_shuifa
柑桔，又叫桔子,热量：51 大卡(每100克),http://www.boohee.com/shiwu/ganjie_junzhi
菠菜，又叫菠棱菜、赤根菜、波斯草、鹦鹉菜、...,热量：28 大卡(每100克),http://www.boohee.com/shiwu/bocai
菠萝，又叫番梨、露兜子、凤梨,热量：44 大卡(每100克),http://www.boohee.com/shiwu/boluo
火龙果，又叫仙蜜果、红龙果,热量：55 大卡(每100克),http://www.boohee.com/shiwu/huolongguo
草莓，又叫大草莓、士多啤梨、红莓、地莓,热量：32 大卡(每100克),http://www.boohee.com/shiwu/caomei
西兰花，又叫绿菜花、西兰花菜、西蓝花,热量：36 大卡(每100克),http://www.boohee.com/shiwu/xilanhua
芒果，又叫庵罗果、檬果、蜜望子、香盖,热量：35 大卡(每100克),http://www.boohee.com/shiwu/mangguo
豆芽（绿豆芽），又叫巧芽、豆芽菜、如意菜、...,热量：16 大卡(每100克),http://www.boohee.com/shiwu/lvdouya
香菇（鲜），又叫冬菇、香菌、爪菰、花菇、香...,热量：26 大卡(每100克),http://www.boohee.com/shiwu/xianggu
茄子，又叫落苏、茄瓜,热量：23 大卡(每100克),http://www.boohee.com/shiwu/qiezi_junzhi
哈密瓜，又叫甜瓜,热量：34 大卡(每100克),http://www.boohee.com/shiwu/hamigua2
甜瓜，又叫甘瓜、库洪（维吾尔语）,热量：26 大卡(每100克),http://www.boohee.com/shiwu/tiangua
李子，又叫布朗、脆李、金沙李、嘉庆子、李实...,热量：38 大卡(每100克),http://www.boohee.com/shiwu/lizi
海带（浸），又叫江白菜，昆布,热量：16 大卡(每100克),http://www.boohee.com/shiwu/haidai_jin
芹菜（药芹），又叫旱芹、样芹菜、药芹、香芹...,热量：13 大卡(每100克),http://www.boohee.com/shiwu/qincai_baijing
通心菜（空心菜），又叫蕹菜,热量：23 大卡(每100克),http://www.boohee.com/shiwu/wengcai
葡萄柚（西柚），又叫红柚、红心柚,热量：33 大卡(每100克),http://www.boohee.com/shiwu/putaoyou_taiwan
豆浆,热量：31 大卡(每100克),http://www.boohee.com/shiwu/doujiang
瓜子（葵花籽），又叫向日葵子、天葵子、葵子...,热量：615 大卡(每100克),http://www.boohee.com/shiwu/kuihuaziren
豆浆（甜）,热量：34 大卡(每100克),http://www.boohee.com/shiwu/doujiang_tian
豆腐干（白干），又叫豆干、白干,热量：197 大卡(每100克),http://www.boohee.com/shiwu/doufugan_junzhi
黑芝麻，又叫芝麻籽(黑)、胡麻、巨胜,热量：559 大卡(每100克),http://www.boohee.com/shiwu/zhimazi_hei
豆腐,热量：84 大卡(每100克),http://www.boohee.com/shiwu/doufu_junzhi
核桃（干），又叫核桃仁、山核桃、胡桃仁、羌...,热量：646 大卡(每100克),http://www.boohee.com/shiwu/hetao_gan
豆腐花，又叫豆腐花、豆花,热量：15 大卡(每100克),http://www.boohee.com/shiwu/doufunao
豆腐(南)，又叫嫩豆腐、软豆腐,热量：87 大卡(每100克),http://www.boohee.com/shiwu/doufu_nan
花生（炒）,热量：601 大卡(每100克),http://www.boohee.com/shiwu/huasheng_chao
花生米（生），又叫花生仁（生）,热量：574 大卡(每100克),http://www.boohee.com/shiwu/huashengren_sheng
花生米（炒），又叫花生仁（炒）,热量：589 大卡(每100克),http://www.boohee.com/shiwu/huashengren_chao
豆腐(北)，又叫软玉,热量：116 大卡(每100克),http://www.boohee.com/shiwu/doufu_bei
栗子(熟)，又叫板栗,热量：214 大卡(每100克),http://www.boohee.com/shiwu/lizi_shu
豆腐皮，又叫百片、腐衣、豆皮、油皮,热量：447 大卡(每100克),http://www.boohee.com/shiwu/doufupi
豆奶粉,热量：423 大卡(每100克),http://www.boohee.com/shiwu/dounaifen
豆奶,热量：30 大卡(每100克),http://www.boohee.com/shiwu/dounai
杏仁(烤干，加盐),热量：617 大卡(每100克),http://www.boohee.com/shiwu/xingren_kaogan_jiayan
豆腐脑(带卤)，又叫豆腐花,热量：48 大卡(每100克),http://www.boohee.com/shiwu/doufunao_dailu
花生（鲜），又叫落花参、番豆、长生果、落地...,热量：313 大卡(每100克),http://www.boohee.com/shiwu/huasheng_xian
杏仁，又叫南杏仁,热量：578 大卡(每100克),http://www.boohee.com/shiwu/xingren
核桃(鲜),热量：336 大卡(每100克),http://www.boohee.com/shiwu/hetao_xian
黄豆，又叫大豆、黄大豆、枝豆、菜用大豆,热量：390 大卡(每100克),http://www.boohee.com/shiwu/huangdou
豆腐干(香干)，又叫豆干,热量：152 大卡(每100克),http://www.boohee.com/shiwu/doufugan_xianggan
葵花子（奶油香瓜子）,热量：620 大卡(每100克),http://www.boohee.com/shiwu/kuihuazi_naiyouxiangguazi
油豆腐,热量：245 大卡(每100克),http://www.boohee.com/shiwu/youdoufu
豆浆粉,热量：426 大卡(每100克),http://www.boohee.com/shiwu/doujiangfen
内酯豆腐，又叫豆腐,热量：50 大卡(每100克),http://www.boohee.com/shiwu/doufu_neizhi
杏仁(大),热量：540 大卡(每100克),http://www.boohee.com/shiwu/xingren_da
山核桃（熟），又叫小核桃,热量：658 大卡(每100克),http://www.boohee.com/shiwu/shanhetao_shu
花生（烤、密日兴牌）,热量：475 大卡(每100克),http://www.boohee.com/shiwu/huasheng_kao_mirixingpai
开心果（熟）,热量：631 大卡(每100克),http://www.boohee.com/shiwu/kaixinguo_shu
素鸡,热量：194 大卡(每100克),http://www.boohee.com/shiwu/suji
黑豆，又叫黑大豆、乌豆、橹豆、马料豆、料豆...,热量：401 大卡(每100克),http://www.boohee.com/shiwu/heidou
豆腐干(卤干)，又叫豆干,热量：339 大卡(每100克),http://www.boohee.com/shiwu/doufugan_lugan
腰果（熟）,热量：615 大卡(每100克),http://www.boohee.com/shiwu/yaoguo_shu
西瓜子(炒),热量：582 大卡(每100克),http://www.boohee.com/shiwu/xiguazi_chao
腐竹（干），又叫支竹、甜竹、腐筋,热量：461 大卡(每100克),http://www.boohee.com/shiwu/fuzhu
花生米（油炸），又叫花生仁（油炸）,热量：583 大卡(每100克),http://www.boohee.com/shiwu/huashengren_youzha
豆腐丝,热量：203 大卡(每100克),http://www.boohee.com/shiwu/doufusi
千张，又叫百页、皮子、豆片、干豆腐,热量：262 大卡(每100克),http://www.boohee.com/shiwu/qianzhang
花生（烤、勤俭牌）,热量：586 大卡(每100克),http://www.boohee.com/shiwu/huasheng_kao_qinjianpai
青豆，又叫青大豆,热量：398 大卡(每100克),http://www.boohee.com/shiwu/qingdou
豆腐干(酱油干)，又叫豆干,热量：157 大卡(每100克),http://www.boohee.com/shiwu/doufugan_jiangyougan
腰果，又叫鸡腰果、介寿果,热量：559 大卡(每100克),http://www.boohee.com/shiwu/yaoguo
